Timestamp,G1,G2,G3,G4,G5,G6
5/14/24 13:15,,,,,,
5/14/24 13:17,,시선이 고정된거같아요,발음이 더 좋아지면 좋을것같습니다,,자신감 있게 하면 좋겠습니다,
5/14/24 13:17,,,,,,
5/14/24 13:17,,,,,,
5/14/24 13:17,,,,,,
5/14/24 13:17,글을 읽는것같은 느낌이살짝들었다,소리가 좀작은것같다,소리가 조금 끊기는느낌이였다 자신감이 좋았다,아주훌륭했다,잘안들렸다.,
5/14/24 13:17,,,,,,
5/14/24 13:17,,,,,,
5/14/24 13:17,,,,,,
5/14/24 13:17,목소리가 작아요,,,,,
5/14/24 13:17,외웠으면 좋았을 것 같아요,,,,,
5/14/24 13:17,발음이 딱딱한 게 많다,말이 조금 빠르다,연결이 약간 부자연스럽다,굿,목소리가 조금만 더 컸으면 좋겠다,전체적으로 자연스러워서 좋다
5/14/24 13:17,손동작을 자연스럽게 하면 좋겠다,조금 더 말하듯이 하면 좋겠다,발음을 조금 신경쓰면 좋겠다,목소리가 조금만 더 크면 좋겠다,발음을 조금 더 명확히 하면 좋겠다,발음을 조금만 더 명확히 하면 좋겠다
5/14/24 13:17,조금 더 자신감 있으면 좋겠어요,,발음이 더 정확하면 좋겠어요,잘했어요 목소리만 조금 더 크면 좋겠어요,중요한 단어가 더 잘 들렸으면 좋겠어요,조금 더 전달하려는 느낌이 강했으면 좋겠어요
5/14/24 13:17,,,,,,
5/14/24 13:18,"Very clear speech, but intonation seems to need improvement",YOU ARE STILL READING!,"great! Confident, Clear and well prepared. But still it seems little bit READING",Wonderful!,Some words need more accurate pronunciation,"Little bit fast, but comfortable to listen in general."
5/14/24 13:20,발음이 좋았다,발음이 좋았다,강조하는 부분을 크게 말해줘서 내용이 더 잘 들렸다,저연스러웠다,자연스럽게 잘했다,발음이 좋았다
5/16/24 14:17,,,,,,
5/16/24 14:21,,천천히 침착하게,,,,
5/16/24 14:22,,,,,,
5/16/24 14:22,"Look very fluent, but need little more rhythm",,Clear speech with loud voice. But Thought grouping seems needed.,I can see your improvement! Nice talk,Great! I can get your point clearly. Just make sure your script is in your brain,Makes me speechless. REALLY
5/16/24 14:22,,,대본을 조금만 더 외우면 엄청 좋을 것 같아요,눈을 마주치고 대화하는 것처럼 하면 더 좋을 것 같아요,,
5/16/24 14:22,,,,발음이 안 들림,,
5/16/24 14:22,,,,,,
5/16/24 14:22,발음을 조금만 더 명확하게 해주면 좋겠다,조금만 속도를 늦추면 좋겠다,조금만 발음을 명확히 하면 좋겠다,말을 조금씩 쉬어서 하면 좋겠다,발음이 조금만 더 명확하면 좋겠다,
5/16/24 14:22,,,,,,
5/16/24 14:22,,,매끄럽게 이어지면 정말 좋을 것 같습니다,,,
5/16/24 14:22,발음이랑 악센트가 더 정확하면 좋겠어요,잘해요 굿굿!,조금 더 자신감 있고 발음 정확하면 좋겠어요,단어들이 끊기는 느낌만 고치면 좋을 거 같아요,조금 더 자신감 있고 악센트가 정확하면 좋겠어요,잘했어요 굿굿
5/16/24 14:22,,,,,,
5/16/24 14:22,,,암기하면 더 좋을 것 같아요,Chunking을 더 하면 좋을 것 같아요,,목소리가 좋아요
5/16/24 14:22,좀 더 또렷하게 말해주면 좋겠다,,,,,
5/16/24 14:22,,내용이 잘 들려서 좋았다,,,,발음이 너무 좋아요
5/16/24 14:23,목소리가 컸다,유창하게 느껴짐,대본이 더 입에 익으면 더 잘할 것 같다,목소리도 크고 대본 숙지가 잘된 것 같았다,,발음이 유창하고 내용이 잘들렸다
5/16/24 14:24,읽는 느낌을 줄이면 좋을 것 같다,속도를 줄이면 좋을 것 같다,자세를 풀면 좋을 것 같다,텀을 두고 말하면 좋을 것 같다,끊어말하는 느낌을 줄이면 좋을 것 같다,목소리가 좋다
5/16/24 14:25,,,,,,
5/9/24 14:17,조금만 또렷하게 말해주면 좋을거 같다,,더 잘 끊어서 말하면 좋을거 같다,좀만 천천히 말해주면 좋겠다,,
5/9/24 14:18,,,,,,
5/9/24 14:18,목소리가 작은 것 같다,읽는 느낌이 조금 있는 것 같았다,,,,
5/9/24 14:18,,,,,,
5/9/24 14:18,목소리가 작았다,글 읽는 것 같았다,글 읽는 것 같았다,조금 빨랐다,,
5/9/24 14:18,소리가 뚝뚝 끊겨서 집중하지 않고 들으면 의미를 파악하기 힘들었다.,schwa를 좀살렸으면 좋겠다,목소리가 조금더컸으면좋겠다,아주훌륭했다.,차분해서 좋았지만 좀더크고 속도가 빨랐으면한다,
5/9/24 14:18,,,,,,
5/9/24 14:18,,,,속도 조절,,
5/9/24 14:18,,,,,,
5/9/24 14:18,책읽는거같음,발음,발음 몇군데만,빠르고 발음이 뭉개짐,자신감이 없다,책읽는거같음
5/9/24 14:18,목소리가 좀 더 컸으면 좋겠습니다,,매끄럽게 이어졌으면 좋겠습니다,떨지 않았으면 좋겠습니다,,
5/9/24 14:18,The voice is small,There is no eye-contact,Soooooooo good,Too fast,,발음이 잘 들리지 않아요
5/9/24 14:18,목소리가 더 크면 좋을 것 같다,읽기 보다 조금 더 말하는 느낌으로 하면 좋을 거 같아요,발음이 조금 더 정확하면 좋겠어요,잘했어요,읽는 느낌 보다 말을 전달하려는 느낌으로 하면 좋을것 같아요,목소리 더 크고 발음이 더 정확했으면 좋겠어요
5/9/24 14:19,대본을 외워서 아이컨택을 했으면 좋았을 것 같다!,👍👍,,조금만 천천히 말하면 좋을 것 같아요,,
5/9/24 14:19,"Thought grouping 숙지, 시선처리",Nice intonation!,"Intonation, Rhythm","You can be slower, to be more clear. But great job in general",시선처리,몇몇 단어 발음 정확하게 했으면 좋겠다.
5/9/24 14:19,연결이 매끄럽지 않다. 목소리 톤은 되게 좋았다,발음이 딱딱한 단어가 몇몇 들렸고 글을 줄줄 읽는 느낌이 강했다. 다른 부분은 다 좋았다.,시선처리가 자연스럽고 좋았다.,살짝 말이 빨라서 편하게 들리지 않았다. 발음과 억양은 걸리는 것 없이 듣기 편했다.,발음도 좋고 목소리도 잘 들려서 좋았다. 하지만 말이 살짝 느려서 쪼끔 답답했다,말할게 몸이 자꾸 흔들려서 보는 사람 입장에서는 조금 불안해 보였다. 하지만 발음도 좋고 속도도 듣기 편할 정도로 적당해서 좋았다
5/9/24 14:19,memorization,,a loud voice,talk slowly,a loud voice,memorization
5/9/24 14:19,,,,,,
5/9/24 14:20,발음이 좋고 속도도 적당해서 듣기 편했다. 스스로 잘 하는 것을 알고 좀 더 자신감을 가졌으면 좋겠다,,중간중간 대본을 확인했지만 발음이 좋아서 듣기 편했다,자신이 발표할 부분을 제대로 숙지한 것 같다,좀 더 빨리 말했으면 좋겠고 자신감을 가졌으면 좋겠다.,목소리 크기가 좋았고 자신감이 있어보였다
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,